code,system
0604011L0AAAXAX,bnf
0604011D0AAALAL,bnf
0604011G0AABLBL,bnf
0604011G0BUACBA,bnf
0604011G0BUADBH,bnf
0604011G0BUAABR,bnf
0604011D0AAAAAA,bnf
0604011D0AAAWAW,bnf
0604011G0AABEBE,bnf
0604011G0AABHBH,bnf
0604011G0BUAEBL,bnf
0604011G0AABABA,bnf
0604011G0AABRBR,bnf
0604011G0AABGBG,bnf
0604011D0AAACAC,bnf
0604011G0BCABBA,bnf
0604011G0BCAABL,bnf
0604011G0BCAEBL,bnf
0604011G0BCAGBR,bnf
0604011G0BCADBA,bnf
0604011L0BTACBG,bnf
0604011L0BKADBD,bnf
0604011L0BTABBF,bnf
0604011L0AABDBD,bnf
0604011L0AABGBG,bnf
0604011Q0AAAHAH,bnf
0604011Q0BBADAD,bnf
0604011L0AABFBF,bnf
0604011Q0BBACAC,bnf
0604011Q0BCADAE,bnf
0604011Y0BBAAAA,bnf
0604011L0AABEBE,bnf
0604011Y0AAAAAA,bnf
0604011P0AAACAC,bnf
0604011P0BBAAAB,bnf
0604011P0BBAGAF,bnf
0604011P0BBABAC,bnf
0604011G0BVAAAI,bnf
0604011X0AAAAAA,bnf
0604011L0BIAAAK,bnf
0604011L0CBAAA0,bnf
0604011L0BZAABK,bnf
0604011J0BBAAAA,bnf
0604011X0BEAAAA,bnf
0604011L0BRAABA,bnf
0604011H0BBAAAA,bnf
0604011X0BBAAAA,bnf
0604011L0BMAAAR,bnf
0604011X0BDAAAA,bnf
0604011X0BFAAAA,bnf
0604011K0BBABAB,bnf
0604011K0BBAAAA,bnf
0604011L0BCABAC,bnf
0604011L0AAACAC,bnf
0604011G0BLAABL,bnf
0604011G0BLABBN,bnf
0604011L0BKABAN,bnf
0604011L0BWAABJ,bnf
0604011L0BKAAAM,bnf
0604011L0AAAMAM,bnf
0604011L0BHABAX,bnf
0604011L0BKACAP,bnf
0604011L0AAAPAP,bnf
0604011L0BPACAK,bnf
0604011L0BKAEBL,bnf
0604011K0AAABAB,bnf
0604011K0AAAAAA,bnf
0604011G0BEABBD,bnf
0604011G0BEAAAI,bnf
0604011G0BFADBN,bnf
0604011G0BKACBN,bnf
0604011G0BCAFBN,bnf
0604011P0AAAFAF,bnf
0604011G0BUABBN,bnf
0604011G0AABIBI,bnf
0604011G0AABNBN,bnf
0604011G0AAAIAI,bnf
0604011G0AABDBD,bnf
0604011D0AAAEAE,bnf
0604011G0AAAUAU,bnf
0604011G0AAABAB,bnf
0604011L0AABKBK,bnf
0604011G0BKAABL,bnf
0604011G0BKABBR,bnf
0604011G0BFABBA,bnf
0604011G0BFAABL,bnf
0604011G0BFACBR,bnf
0604011L0BVAABI,bnf
0604011L0AABIBI,bnf
0604011L0BHACAY,bnf
0604011L0AAAYAY,bnf
0604011K0BCAAAA,bnf
0604011K0BCABAB,bnf
0604011Q0AAADAD,bnf
0604011ADAAAAAA,bnf
0604011L0AABJBJ,bnf
0604011L0AAATAT,bnf
0604011L0AAAWAW,bnf
0604011G0BMAABD,bnf
0604011G0BMADBG,bnf
0604011L0BPAAAT,bnf
0604011L0BPABAW,bnf
0604011G0BMACBE,bnf
0604011G0BMABAI,bnf
0604011L0BTAABE,bnf
0604011G0AABTBT,bnf
0604011G0BWAABT,bnf
0604011Q0AAAEAE,bnf
0604011Q0AAACAC,bnf
0604011P0AAABAB,bnf
0604011L0BJAAAL,bnf
0604011L0AAALAL,bnf
0604011L0BUAABH,bnf
0604011L0AABHBH,bnf
0604011ADBBAAAA,bnf
0604011Q0BCAEAH,bnf
0604011G0BPABBJ,bnf
0604011G0BPAABI,bnf
0604011Q0BCACAG,bnf
0604011G0BIABAU,bnf
0604011L0BEACAK,bnf
0604011L0BEAAAF,bnf
0604011L0BGABAI,bnf
0604011L0BGAAAH,bnf
0604011L0AABLBL,bnf
0604011L0AABABA,bnf
0604011L0AAAKAK,bnf
0604011G0AABJBJ,bnf
